,No.,Compound ID,SMILES,Assay ID,LogP app
0,1.0,CHEMBL121893,[N@H+]2(CCCCC2)CCC(=O)c1ccc(OCCCCCC)cc1,CHEMBL1034536,-2.67
1,2.0,CHEMBL538150,C(=O)(c1cc2c(cc(OCCCCCC)cc2)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.85
2,3.0,CHEMBL539139,C(=O)(c1ccc(OCCOCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.8
3,4.0,CHEMBL539393,C(=O)(c1cc(C)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.91
4,5.0,CHEMBL539718,C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.22
5,6.0,CHEMBL540227,C(=O)(c1ccc(OCCCCCC)cc1)CCNc2cc(Cl)ccc2,CHEMBL1034536,-5.7
6,7.0,CHEMBL540471,C(=O)(c2c(Cl)cc(OCCCCCC)c(Cl)c2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.75
7,8.0,CHEMBL541478,N1C(=O)C[N@H+](CCC(c2c(C)cc(S(=O)(CCCCCC)=O)cc2C)=O)CC1,CHEMBL1034536,-3.32
8,9.0,CHEMBL541481,C(=O)(c2c(Cl)cc(SCCCCCC)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.69
9,10.0,CHEMBL549482,C(=O)(c1cc(C)c(OCCCCCC)c(C)c1)CC[N@H+](C)C,CHEMBL1034536,-3.14
10,11.0,CHEMBL549483,C(=O)(c1c(C)cc(OCCCCCC)cc1C)CC[N@H+](C)C,CHEMBL1034536,-3.19
11,12.0,CHEMBL549557,C(=O)(c1cc(S(=O)(C)=O)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.14
12,13.0,CHEMBL549561,C(=O)(c1c(C)cc(S(=O)(CCCCCC)=O)cc1C)CC[N@@H+]2CCN(S(=O)(CC)=O)CC2,CHEMBL1034536,-3.0
13,14.0,CHEMBL549562,C(=O)(c1c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.66
14,15.0,CHEMBL549685,C(=O)(c1cc(Cc2ccccc2)c(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.64
15,16.0,CHEMBL549889,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1Cl)CC[N@H+]2CCN(C(=O)C)CC2,CHEMBL1034536,-3.32
16,17.0,CHEMBL550090,C(=O)(c2c(C)cc(S(=O)(CCCCCC)=O)cc2C)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.94
17,18.0,CHEMBL550094,C2[C@](C[N@H+](C)C)C(=O)c1ccc(OCCCCCC)cc1O2,CHEMBL1034536,-3.16
18,19.0,CHEMBL550295,N1C(=O)C[N@H+](CCC(c2c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc2)=O)CC1,CHEMBL1034536,-2.96
19,20.0,CHEMBL550497,C(=O)(c2c(Cl)c(Cl)c(OCCCCCC)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-3.03
20,21.0,CHEMBL550752,C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-2.98
21,22.0,CHEMBL550758,C(=O)(c1c(Cl)cc(OCCCCCC)cc1Cl)CC[N@H+](C)C,CHEMBL1034536,-3.16
22,23.0,CHEMBL550760,C(=O)(c1c(C)cc(SCCCCCC)cc1C)CC[N@@H+]2CCN(S(=O)(CC)=O)CC2,CHEMBL1034536,-3.8
23,24.0,CHEMBL550761,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.42
24,25.0,CHEMBL550765,C(=O)(c1ccc(OCCCCCC)cc1)[C@@](C[N@@H+](C)C)[C@@](C)C,CHEMBL1034536,-2.9
25,26.0,CHEMBL550766,C(=O)(c2ccc(OCCCCCC)cc2)[C@@](c1ccccc1)C[N@@H+](C)C,CHEMBL1034536,-3.04
26,27.0,CHEMBL550767,C(=O)(c2c(Cl)cc(S(=O)(CCCCCC)=O)cc2)CC[N@H+]1CCOCC1,CHEMBL1034536,-3.12
27,28.0,CHEMBL550768,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1)CC[N@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-3.44
28,29.0,CHEMBL550841,C(=O)(c2ccc(OCCCCCC)cc2)CCNc1ccccc1,CHEMBL1034536,-6.7
29,30.0,CHEMBL550845,C(=O)(c1c(Cl)cc(OCCCCCC)c(Cl)c1)CC[N@H+](C)C,CHEMBL1034536,-2.98
30,31.0,CHEMBL550905,C(=O)(c2c(Cl)cc(OCCCCCC)cc2Cl)CC[N@H+]1CCOCC1,CHEMBL1034536,-6.0
31,32.0,CHEMBL550954,C(=O)(c2c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-3.25
32,33.0,CHEMBL551046,N1(CCC(c2ccc(OCCCCCC)cc2)=O)C(=O)CCC1=O,CHEMBL1034536,-2.89
33,34.0,CHEMBL551106,C(=O)(c1c(C)cc(OCCCCCC)cc1C)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-2.81
34,35.0,CHEMBL551184,C(=O)(c1cc(OC)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.02
35,36.0,CHEMBL551185,C(=O)(c1c(OC)cc(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.98
36,37.0,CHEMBL551244,C(=O)(c1ccc(C[C@]2CC[N@@H+](CC)CC2)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.85
37,38.0,CHEMBL551385,C(=O)(c2c(Cl)c(Cl)c(SCCCCCC)cc2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-4.52
38,39.0,CHEMBL551450,C(=O)(c2ccc(OCCCCCC)cc2)CC[N@@H+]1CC[N@@H+](C)CC1,CHEMBL1034536,-2.64
39,40.0,CHEMBL551710,C(=O)(c1cc(OCCCCCC)ccc1)CC[N@H+](C)C,CHEMBL1034536,-3.08
40,41.0,CHEMBL551791,C(=O)(c1c(Br)cc(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-4.1
41,42.0,CHEMBL551962,C(=O)(c2c(Cl)cc(OCCCCCC)cc2Cl)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-6.0
42,43.0,CHEMBL551975,N1C(=O)C[N@@H+](CCC(c2c(Cl)cc(SCCCCCC)cc2)=O)CC1,CHEMBL1034536,-2.87
43,44.0,CHEMBL551976,C(=O)(c2c(Cl)cc(SCCCCCC)cc2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-3.13
44,45.0,CHEMBL551979,C(=O)(c1cc([C@](C)(C)C)c(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.72
45,46.0,CHEMBL552048,C(=O)(c1c(Cl)cc(OCCCCCC)c(Cl)c1)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-2.81
46,47.0,CHEMBL552105,C(=O)(c1cc(SC)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.9
47,48.0,CHEMBL552106,C(=O)(c1c(SC)cc(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.84
48,49.0,CHEMBL552158,C(=O)(c1cc(F)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.16
49,50.0,CHEMBL552185,C(=O)(c1ccc(OCCCCCC)c2ccccc12)CC[N@@H+](C)C,CHEMBL1034536,-3.18
50,51.0,CHEMBL552392,C1(=O)[C@](C[N@H+](C)C)CCc2cc(OCCCCCC)ccc12,CHEMBL1034536,-3.15
51,52.0,CHEMBL552517,C(=O)(c2c(Cl)cc(SCCCCCC)c(Cl)c2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.85
52,53.0,CHEMBL552742,C(=O)(c1c(N(C)C)cc(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.77
53,54.0,CHEMBL553190,C(=O)(c1ccc(SCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.83
54,55.0,CHEMBL553624,C(=O)(c2c(C)cc(OCCCCCC)cc2C)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.03
55,56.0,CHEMBL553652,C(=O)(c2ccc(OCCCCCC)cc2)CC[N@H+]1CCCC1,CHEMBL1034536,-2.89
56,57.0,CHEMBL555065,C(=O)(c2c(Cl)cc(OCCCCCC)c(Cl)c2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.09
57,58.0,CHEMBL555726,C(S(=O)(Nc1ccc(C(=O)CC[N@@H+](C)C)cc1)=O)CCCC,CHEMBL1034536,-4.3
58,59.0,CHEMBL555749,C1(=O)[C@](C[N@H+](C)C)Cc2cc(OCCCCCC)ccc12,CHEMBL1034536,-3.64
59,60.0,CHEMBL556270,C(=O)(c2c(Cl)c(Cl)c(OCCCCCC)cc2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-6.0
60,61.0,CHEMBL557905,C(=O)(c1c(S(=O)(C)=O)cc(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.07
61,62.0,CHEMBL557906,C(=O)(c2c(Cl)cc(SCCCCCC)cc2Cl)CC[N@@H+]1CCOCC1,CHEMBL1034536,-5.0
62,63.0,CHEMBL558106,C(=O)(c1c([C@](F)(F)F)cc(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.3
63,64.0,CHEMBL558107,C(=O)(c1cc([N+]([O-])=O)c(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-2.87
64,65.0,CHEMBL558297,C(=O)(c2c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-3.42
65,66.0,CHEMBL558298,C(=O)(c2c(Cl)cc(SCCCCCC)cc2Cl)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-4.3
66,67.0,CHEMBL558889,C(=O)(Nc1ccc(C(=O)CC[N@@H+](C)C)cc1)CCCCC,CHEMBL1034536,-3.25
67,68.0,CHEMBL559520,C(=O)(c1c(C)cc(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.13
68,69.0,CHEMBL559521,C(=O)(c2c(Cl)c(Cl)c(SCCCCCC)cc2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-4.16
69,70.0,CHEMBL559522,C(=O)(c2c(Cl)c(Cl)c(SCCCCCC)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-3.77
70,71.0,CHEMBL559716,C(=O)(c1cc(Br)c(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.34
71,72.0,CHEMBL559717,C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[N@H+](C)C,CHEMBL1034536,-3.48
72,73.0,CHEMBL559718,N1C(=O)C[N@H+](CCC(c2c(Cl)cc(SCCCCCC)c(Cl)c2)=O)CC1,CHEMBL1034536,-3.09
73,74.0,CHEMBL560108,N1C(=O)C[N@H+](CCC(c2c(Cl)cc(S(=O)(CCCCCC)=O)c(Cl)c2)=O)CC1,CHEMBL1034536,-3.27
74,75.0,CHEMBL560114,C(=O)(c1c([C@@](C)C)cc(OCCCCCC)c(C)c1)CC[N@H+](C)C,CHEMBL1034536,-3.07
75,76.0,CHEMBL560148,C(=O)(c1c(OCCCCCC)cc(C)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.96
76,77.0,CHEMBL560172,C(=O)(c1ccc(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-2.98
77,78.0,CHEMBL560309,C(=O)(c2ccc(OCCCCCC)cc2)CCn1cncc1,CHEMBL1034536,-2.83
78,79.0,CHEMBL560310,C(=O)(c1ccc(N2CC[N@H+](CCC)CC2)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.5
79,80.0,CHEMBL560311,C(=O)(c1c(Cl)c(Cl)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.22
80,81.0,CHEMBL560369,C(=O)(c1c(Cl)cc(SCCCCCC)cc1)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-2.85
81,82.0,CHEMBL560510,C(=O)(c1ccc(S(=O)(CCCCCC)=O)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.11
82,83.0,CHEMBL560512,C(=O)(c1cc(c2ccccc2)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.08
83,84.0,CHEMBL560568,C(=O)(c1c(Cl)c(Cl)c(SCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.85
84,85.0,CHEMBL560569,C(=O)(c1c(Cl)c(Cl)c(SCCCCCC)cc1)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-2.64
85,86.0,CHEMBL560675,N(CCCC)C(Nc1ccc(C(=O)CC[N@H+](C)C)cc1)=O,CHEMBL1034536,-5.0
86,87.0,CHEMBL560911,C(=O)(c1ccc(OCCCCCC)cc1)CC[N@H+](CCCC)CCCC,CHEMBL1034536,-3.25
87,88.0,CHEMBL560972,C(=O)(c1cc([C@](F)(F)F)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.03
88,89.0,CHEMBL561050,C(=O)(c1cc(I)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-3.27
89,90.0,CHEMBL561051,C(=O)(c2c(Cl)cc(SCCCCCC)c(Cl)c2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-4.7
90,91.0,CHEMBL561052,C(=O)(c1c(Cl)cc(SCCCCCC)cc1Cl)CC[N@H+](C)C,CHEMBL1034536,-3.46
91,92.0,CHEMBL561170,C(=O)(c2c(Cl)cc(SCCCCCC)cc2Cl)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.72
92,93.0,CHEMBL561245,C(=O)(c2ccc(OCCCCCC)cc2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.75
93,94.0,CHEMBL561446,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1Cl)CC[N@@H+](C)C,CHEMBL1034536,-3.77
94,95.0,CHEMBL561569,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)c(Cl)c1)CC[N@@H+](C)C,CHEMBL1034536,-4.05
95,96.0,CHEMBL561570,C(=O)(c2c(Cl)cc(S(=O)(CCCCCC)=O)c(Cl)c2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-3.17
96,97.0,CHEMBL561573,C(=O)(c2c(Cl)cc(S(=O)(CCCCCC)=O)cc2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.8
97,98.0,CHEMBL561574,C(=O)(c2c(Cl)cc(S(=O)(CCCCCC)=O)cc2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-3.52
98,99.0,CHEMBL561648,C(=O)(NCCCCCC)c1ccc(C(=O)CC[N@@H+](C)C)cc1,CHEMBL1034536,-3.11
99,100.0,CHEMBL561649,C(=O)(c1c(C)cc(S(=O)(CCCCCC)=O)cc1C)CC[N@H+](C)C,CHEMBL1034536,-2.73
100,101.0,CHEMBL561650,C(=O)(c2c(Cl)c(Cl)c(OCCCCCC)cc2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.43
101,102.0,CHEMBL561653,C(=O)(c1ccc(c2ccc(OCCCCCC)cc2)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.82
102,103.0,CHEMBL561850,c1c(CCCCCCC)ccc(C(=O)CC[N@H+](C)C)c1,CHEMBL1034536,-2.81
103,104.0,CHEMBL561975,C(=O)(c1c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc1)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-3.11
104,105.0,CHEMBL562173,C(=O)(c2c(C)cc(S(=O)(CCCCCC)=O)cc2C)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-2.92
105,106.0,CHEMBL562250,C(=O)(c2ccc(OCCCCCC)cc2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-2.78
106,107.0,CHEMBL562251,C(=O)(c2c(Cl)c(Cl)c(S(=O)(CCCCCC)=O)cc2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.36
107,108.0,CHEMBL562507,C(=O)(c2c(Cl)cc(SCCCCCC)cc2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.3
108,109.0,CHEMBL563032,C(=O)(c1c(C)cc(S(=O)(CCCCCC)=O)cc1C)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-3.33
109,110.0,CHEMBL563154,C(=O)(c2c(Cl)cc(SCCCCCC)c(Cl)c2)CC[N@@H+]1CCOCC1,CHEMBL1034536,-2.88
110,111.0,CHEMBL563175,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)c(Cl)c1)CC[N@@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-3.17
111,112.0,CHEMBL563181,C(=O)(c1c(Cl)cc(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-2.71
112,113.0,CHEMBL563566,C(=O)(c2c(Cl)cc(S(=O)(CCCCCC)=O)c(Cl)c2)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-3.14
113,114.0,CHEMBL563804,C(=O)(c1c(Cl)cc(SCCCCCC)c(Cl)c1)CC[N@H+]2CCN(C(C)=O)CC2,CHEMBL1034536,-3.0
114,115.0,CHEMBL563816,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1Cl)CC[N@@H+]2CCOCC2,CHEMBL1034536,-3.33
115,116.0,CHEMBL563871,C(=O)(c2c(Cl)cc(OCCCCCC)cc2Cl)CC[N@@H+]1CCN(S(=O)(CC)=O)CC1,CHEMBL1034536,-3.07
116,117.0,CHEMBL563943,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1Cl)CC[N@H+]2[C@](C)C2,CHEMBL1034536,-3.01
117,118.0,CHEMBL564112,N1C(=O)C[N@H+](CCC(c2c(Cl)cc(S(=O)(CCCCCC)=O)cc2)=O)CC1,CHEMBL1034536,-3.62
118,119.0,CHEMBL564464,C(=O)(c1c(Cl)cc(S(=O)(CCCCCC)=O)cc1Cl)CC[N@H+]2CC(=O)NCC2,CHEMBL1034536,-3.37
119,120.0,CHEMBL565150,C(=O)(c1c(I)cc(OCCCCCC)cc1)CC[N@@H+](C)C,CHEMBL1034536,-3.57
120,121.0,CHEMBL569845,N1C(=O)C[N@H+](CCC(c2c(Cl)c(Cl)c(SCCCCCC)cc2)=O)CC1,CHEMBL1034536,-2.8
121,122.0,CHEMBL570307,C(=O)(c1ccc(OCCCCCC)cc1)[C@@](C)C[N@H+](C)C,CHEMBL1034536,-2.87
122,123.0,CHEMBL570776,C(=O)(c2c(Cl)cc(OCCCCCC)cc2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.06
123,124.0,CHEMBL571226,N1C(=O)C[N@@H+](CCC(c2c(Cl)cc(OCCCCCC)cc2Cl)=O)CC1,CHEMBL1034536,-2.86
124,125.0,CHEMBL572341,C(=O)(c2c(Cl)cc(S(=O)(CCCCCC)=O)c(Cl)c2)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.59
125,126.0,CHEMBL572342,C(=O)(c2c(C)cc(SCCCCCC)cc2C)CC[N@H+]1[C@](C)C1,CHEMBL1034536,-3.11
126,127.0,CHEMBL572348,C(=O)(c1cc(Cl)c(OCCCCCC)cc1)CC[N@H+](C)C,CHEMBL1034536,-2.99
127,128.0,CHEMBL1294,[N@H+]12[C@](C[C@@](CC2)[C@@](C=C)C1)[C@@](O)c4c3c(ccc(OC)c3)ncc4,CHEMBL3430218,-5.48
128,129.0,CHEMBL24,C(Cc1ccc(cc1)OC[C@](O)C[NH2+][C@@](C)C)(N)=O,CHEMBL3430218,-7.52
129,130.0,CHEMBL3221410,N1[C@@](C[C@@](C)C)C(=O)N2[C@@](C(=O)N(C)[C@@](Cc3ccc(O)cc3)C(=O)N[C@@](C[C@@](C)C)C(=O)N(C)[C@](C[C@@](C)C)C(=O)N(C)[C@@](C[C@@](C)C)C1=O)CCC2,CHEMBL3430218,-6.24
130,131.0,CHEMBL3342578,N3[C@@](C[C@@](C)C)C(N[C@](C[C@@](C)C)C(N[C@@](C[C@@](C)C)C(N[C@@](C[C@@](C)C)C(N1[C@](CCC1)C(N[C@@](Cc2ccc(O) cc2)C3=O)=O)=O)=O)=O)=O,CHEMBL3430218,-5.91
131,132.0,CHEMBL3403637,[C@]2(C[C@@](C)C)C(=O)N[C@@](C[C@@](C)C)C(=O)N1[C@](C(=O)N[C@@](Cc3ccc(O)cc3)C(=O)N[C@](C[C@@](C)C)C(=O)N[C@@](C [C@@](C)C)C(=O)N2)CCC1,CHEMBL3430218,-6.23
132,133.0,CHEMBL3425512,[C@]2(CCCC[NH3+])NC(=O)[C@](NC(=O)[C@@](NC(=O)[C@@]1CCCN1C(=O)[C@](NC(=O)[C@]([C@](O)C)NC2=O)Cc5ccccc5)Cc6ccccc6)Cc3cnc4c3cccc4,CHEMBL3430218,-7.05
133,134.0,CHEMBL3425617,[C@]3(C[C@@](C)C)N(C)C(=O)[C@](N(C)C(=O)[C@@](NC(=O)[C@@]2CCCN2C(=O)[C@](NC(=O)[C@](C[C@@](C)C)NC3=O)C[C@@](C)C)Cc1ccc(O)cc1)C[C@@](C)C,CHEMBL3430218,-6.17
134,135.0,CHEMBL3425618,[C@@]3(C[C@@](C)C)N(C)C(=O)[C@](N(C)C(=O)[C@@](NC(=O)[C@@]2CCCN2C(=O)[C@@](N(C)C(=O)[C@](C[C@@](C)C)NC3=O)C[C@ @](C)C)Cc1ccc(O)cc1)C[C@@](C)C,CHEMBL3430218,-5.64
135,136.0,CHEMBL3425619,[C@]3(C[C@@](C)C)NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]2CCCN2C(=O)[C@](NC(=O)[C@](C[C@@](C)C)NC3=O)C[C@@](C)C)Cc1ccc(O)cc1)C[C@@](C)C,CHEMBL3430218,-6.96
136,137.0,CHEMBL3425620,[C@]2(C[C@@](C)C)NC(=O)[C@@](NC(=O)[C@@](NC(=O)[C@]1CCCN1C(=O)[C@](NC(=O)[C@@](C[C@@](C)C)NC2=O)C[C@@](C)C)Cc3cnc4c3cccc4)C[C@@](C)C,CHEMBL3430218,-5.48
137,138.0,CHEMBL3425621,[C@@]2(C[C@@](C)C)NC(=O)[C@](C[C@@](C)C)NC(=O)[C@@](NC(=O)[C@@]1CCCN1C(=O)[C@@]3N(CCC3)C(=O)[C@@](C[C@@](C)C)NC2=O)Cc4cnc5c4cccc5,CHEMBL3430218,-6.72
